BlockType,ParameterPath,Type,Optional,SuggestedTab,SuggestedControl
ColumnBlock,style.marginRight,string,true,styles,text
ColumnBlock,style.marginTop,string,true,styles,text
ColumnBlock,style.overlayColor,string,true,styles,color
ColumnBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ColumnBlock,style.padding,string,true,styles,text
ColumnBlock,style.parallax,boolean,true,styles,toggle
ColumnBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ColumnBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ContactFormBlock,showOnDesktop,boolean,true,settings,toggle
ContactFormBlock,showOnLg,boolean,true,settings,toggle
ContactFormBlock,showOnMd,boolean,true,settings,toggle
ContactFormBlock,showOnMobile,boolean,true,settings,toggle
ContactFormBlock,showOnSm,boolean,true,settings,toggle
ContactFormBlock,showOnXl,boolean,true,settings,toggle
ContactFormBlock,style.backgroundColor,string,true,styles,color
ContactFormBlock,style.backgroundImageUrl,string,true,styles,media
ContactFormBlock,style.backgroundPosition,string,true,styles,text (CSS)
ContactFormBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ContactFormBlock,style.backgroundRepeat,string,true,styles,text
ContactFormBlock,style.backgroundSize,string,true,styles,text (CSS)
ContactFormBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ContactFormBlock,style.blendMode,string,true,styles,text
ContactFormBlock,style.borderRadius,string,true,styles,text (CSS)
ContactFormBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ContactFormBlock,style.gap,string,true,styles,text
ContactFormBlock,style.gradientDirection,string,true,styles,text
ContactFormBlock,style.gradientFrom,string,true,styles,text
ContactFormBlock,style.gradientTo,string,true,styles,text
ContactFormBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ContactFormBlock,style.hoverScale,number,true,styles,slider+number
ContactFormBlock,style.hoverShadow,string,true,styles,text
ContactFormBlock,style.hoverTransitionMs,number,true,styles,number
ContactFormBlock,style.imageScale,number,true,styles,slider+number
ContactFormBlock,style.marginBottom,string,true,styles,text
ContactFormBlock,style.marginLeft,string,true,styles,text
ContactFormBlock,style.marginRight,string,true,styles,text
ContactFormBlock,style.marginTop,string,true,styles,text
ContactFormBlock,style.overlayColor,string,true,styles,color
ContactFormBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ContactFormBlock,style.padding,string,true,styles,text
ContactFormBlock,style.parallax,boolean,true,styles,toggle
ContactFormBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ContactFormBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ContainerBlock,children,array,false,settings,list
ContainerBlock,columns,number,true,settings,slider+number
ContainerBlock,showOnDesktop,boolean,true,settings,toggle
ContainerBlock,showOnLg,boolean,true,settings,toggle
ContainerBlock,showOnMd,boolean,true,settings,toggle
ContainerBlock,showOnMobile,boolean,true,settings,toggle
ContainerBlock,showOnSm,boolean,true,settings,toggle
ContainerBlock,showOnXl,boolean,true,settings,toggle
ContainerBlock,style.backgroundColor,string,true,styles,color
ContainerBlock,style.backgroundImageUrl,string,true,styles,media
ContainerBlock,style.backgroundPosition,string,true,styles,text (CSS)
ContainerBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ContainerBlock,style.backgroundRepeat,string,true,styles,text
ContainerBlock,style.backgroundSize,string,true,styles,text (CSS)
ContainerBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ContainerBlock,style.blendMode,string,true,styles,text
ContainerBlock,style.borderRadius,string,true,styles,text (CSS)
ContainerBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ContainerBlock,style.gap,string,true,styles,text
ContainerBlock,style.gradientDirection,string,true,styles,text
ContainerBlock,style.gradientFrom,string,true,styles,text
ContainerBlock,style.gradientTo,string,true,styles,text
ContainerBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ContainerBlock,style.hoverScale,number,true,styles,slider+number
ContainerBlock,style.hoverShadow,string,true,styles,text
ContainerBlock,style.hoverTransitionMs,number,true,styles,number
ContainerBlock,style.imageScale,number,true,styles,slider+number
ContainerBlock,style.marginBottom,string,true,styles,text
ContainerBlock,style.marginLeft,string,true,styles,text
ContainerBlock,style.marginRight,string,true,styles,text
